sample-id,Level1,Sequencing run,Diagnosis,Truepera,Actinomyces,N09,Varibaculum,Brevibacterium,Corynebacterium,Brachybacterium,Dietzia,Gordonia,Janibacter,Salinibacterium,Micrococcus,Rothia,Mycobacterium,Nocardioides,Promicromonospora,Propionibacterium,Pseudonocardia,Sanguibacter,Collinsella,Rubrobacter,Solirubrobacter,Flavisolibacter,[Prevotella],Porphyromonas,Prevotella,Hymenobacter,Cloacibacterium,Capnocytophaga,Flavobacterium,Pedobacter,Sphingobacterium,Exiguobacterium,Bacillus,Staphylococcus,Gemella,Granulicatella,Streptococcus,Anaerococcus,Finegoldia,Peptoniphilus,Blautia,Catonella,Oribacterium,Selenomonas,Veillonella,Fusobacterium,Leptotrichia,Gemmatimonas,Mycoplana,Phenylobacterium,Bradyrhizobium,Devosia,Methylobacterium,Agrobacterium,Novosphingobium,Sphingomonas,Lautropia,Aquabacterium,Limnohabitans,Methylibium,Paucibacter,Variovorax,Janthinobacterium,Kingella,Neisseria,Rheinheimera,Klebsiella,Chromohalobacter,Halomonas,Actinobacillus,Haemophilus,Acinetobacter,Alkanindiges,Enhydrobacter,Moraxella,Pseudomonas,Vibrio,Pseudoxanthomonas,Akkermansia,Unknown
BRU.03775,Controls,MSQ82,COPD,0,0,0,0,0,0.0271604938271605,0,0,0,0,0,0,0.192592592592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00987654320987654,0,0.054320987654321,0.130864197530864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271604938271605,0,0,0.0320987654320988,0,0,0,0,0,0,0,0,0,0.525925925925926,0,0,0,0,0,0,0,0,0,0
BRU.03815,Controls,MSQ82,Aspiration no fibrois,0,0,0,0,0,0.015130674002751,0,0,0,0,0,0.015130674002751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261348005502063,0,0,0,0,0,0.15130674002751,0.0880330123796424,0,0,0,0,0,0,0,0,0,0,0.0591471801925722,0,0,0.0398899587345254,0,0,0,0,0,0,0,0,0,0,0.605226960110041,0,0,0,0,0,0,0,0,0
BRU.05237,Controls,MSQ82,Adenocarcinoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188311688311688,0,0.707792207792208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584415584415584,0,0,0,0,0,0,0,0.0454545454545455
BRU.1000,Controls,MSQ82,healthy,0,0.0737851891698046,0,0,0,0.0699300699300699,0.00259996413842568,0,0,0,0.0244755244755245,0.00600681369912139,0.0302133763672225,0.00806885422270038,8.0688542227003e-4,0,0,0,0,0,0,0,0,0,0,0.0180204410973642,0,0.00493096646942801,0,0,0,0,0,0,0.0243858705397167,0,0,0.0523578985117447,0.0122825892056661,0,0,0,0.147839340147032,0.160211583288506,0.0132687824995517,0.102026178949256,0.0480545095929711,0,0,0,0,0,0.00188273265196342,0,0,0.0089653935807782,0.0074412766720459,0,0,0,0.0364891518737673,0,0.0029585798816568,0,0,0,0.00457235072619688,0,0,0,0,0,0.0100412408104716,0,0,0,0.00851712390173929,0,0,0,0.119867312175004
BRU.1006,Controls,MSQ82,healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.730131004366812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270742358078603,0.0567685589519651,0,0.139737991266376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104803493449782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358078602620087
BRU.1017,Controls,MSQ82,healthy,0,0.0175438596491228,0,0,0,0.0239234449760766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15311004784689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470494417862839,0.0207336523125997,0,0.13237639553429,0.212121212121212,0,0,0,0,0,0,0,0,0,0,0.0550239234449761,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321371610845295,0,0,0,0,0,0,0,0,0.0167464114832536
BRU.1018,Controls,MSQ82,healthy,0,0.0659858601728201,0,0,0,0.0337784760408484,0,0,0,0,0.01885310290652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016496465043205,0.01413982717989,0,0.701492537313433,0,0,0,0,0,0,0.00785545954438335,0,0,0,0,0,0,0,0.0384917517674784,0,0,0,0,0,0,0,0,0,0,0,0.0534171249018068,0,0,0.0125687352710134,0.0172820109976434,0,0,0,0.0196386488609584
BRU.1022,Controls,MSQ82,healthy,0,0,0,0,0,0.0416666666666667,0,0,0,0,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118055555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534722222222222,0.0902777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159722222222222
BRU.1028,Controls,MSQ82,healthy,0,0,0,0,0,0.0947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.747368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157894736842105
BRU.1031,Controls,MSQ82,healthy,0,0,0,0,0,0,0,0,0,0,0,0,0.141104294478528,0,0,0,0,0,0,0,0,0,0,0,0,0.279141104294479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230061349693252,0.0598159509202454,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122699386503067,0,0,0,0,0,0,0,0,0,0,0,0,0.432515337423313,0,0,0,0,0,0,0,0,0,0.0521472392638037
BRU.1032,Controls,MSQ82,healthy,0,0,0,0,0,0,0,0,0,0,0.124293785310734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101694915254237,0,0,0,0,0,0,0.18361581920904,0,0,0,0,0,0,0,0,0,0,0,0.0564971751412429,0,0,0.0338983050847458,0,0,0,0,0,0,0,0,0.259887005649718,0,0,0,0,0,0,0,0,0,0,0.240112994350282
BRU.1036,Controls,MSQ82,healthy,0,0.140030441400304,0,0,0,0,0,0,0,0,0,0.0273972602739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210045662100457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305936073059361,0.207001522070015,0.0167427701674277,0,0.0547945205479452,0,0,0,0,0.0380517503805175
